PARTNER,RegionName,Country,CountryName
A01,Selected Developing Countries for Switzerland,100,Bulgaria
A01,Selected Developing Countries for Switzerland,203,Czech Republic
A01,Selected Developing Countries for Switzerland,233,Estonia
A01,Selected Developing Countries for Switzerland,234,Faeroe Islands
A01,Selected Developing Countries for Switzerland,348,Hungary
A01,Selected Developing Countries for Switzerland,376,Israel
A01,Selected Developing Countries for Switzerland,428,Latvia
A01,Selected Developing Countries for Switzerland,440,Lithuania
A01,Selected Developing Countries for Switzerland,616,Poland
A01,Selected Developing Countries for Switzerland,642,Romania
A01,Selected Developing Countries for Switzerland,703,Slovak Republic
A01,Selected Developing Countries for Switzerland,705,Slovenia
A01,Selected Developing Countries for Switzerland,792,Turkey
A02,Caribbean Economic Recovery Act: USA 2007,028,Antigua and Barbuda
A02,Caribbean Economic Recovery Act: USA 2007,044,"Bahamas, The"
A02,Caribbean Economic Recovery Act: USA 2007,052,Barbados
A02,Caribbean Economic Recovery Act: USA 2007,084,Belize
A02,Caribbean Economic Recovery Act: USA 2007,092,British Virgin Islands
A02,Caribbean Economic Recovery Act: USA 2007,188,Costa Rica
A02,Caribbean Economic Recovery Act: USA 2007,212,Dominica
A02,Caribbean Economic Recovery Act: USA 2007,308,Grenada
A02,Caribbean Economic Recovery Act: USA 2007,328,Guyana
A02,Caribbean Economic Recovery Act: USA 2007,332,Haiti
A02,Caribbean Economic Recovery Act: USA 2007,388,Jamaica
A02,Caribbean Economic Recovery Act: USA 2007,500,Montserrat
A02,Caribbean Economic Recovery Act: USA 2007,530,Netherlands Antilles
A02,Caribbean Economic Recovery Act: USA 2007,533,Aruba
A02,Caribbean Economic Recovery Act: USA 2007,591,Panama
A02,Caribbean Economic Recovery Act: USA 2007,659,St. Kitts and Nevis
A02,Caribbean Economic Recovery Act: USA 2007,662,St. Lucia
A02,Caribbean Economic Recovery Act: USA 2007,670,St. Vincent and the Grenadines
A02,Caribbean Economic Recovery Act: USA 2007,780,Trinidad and Tobago
A03,Caribbean Economic Recovery Act: USA 2009,028,Antigua and Barbuda
A03,Caribbean Economic Recovery Act: USA 2009,044,"Bahamas, The"
A03,Caribbean Economic Recovery Act: USA 2009,052,Barbados
A03,Caribbean Economic Recovery Act: USA 2009,084,Belize
A03,Caribbean Economic Recovery Act: USA 2009,092,British Virgin Islands
A03,Caribbean Economic Recovery Act: USA 2009,212,Dominica
A03,Caribbean Economic Recovery Act: USA 2009,308,Grenada
A03,Caribbean Economic Recovery Act: USA 2009,328,Guyana
A03,Caribbean Economic Recovery Act: USA 2009,332,Haiti
A03,Caribbean Economic Recovery Act: USA 2009,388,Jamaica
A03,Caribbean Economic Recovery Act: USA 2009,500,Montserrat
A03,Caribbean Economic Recovery Act: USA 2009,530,Netherlands Antilles
A03,Caribbean Economic Recovery Act: USA 2009,533,Aruba
A03,Caribbean Economic Recovery Act: USA 2009,591,Panama
A03,Caribbean Economic Recovery Act: USA 2009,659,St. Kitts and Nevis
A03,Caribbean Economic Recovery Act: USA 2009,662,St. Lucia
A03,Caribbean Economic Recovery Act: USA 2009,670,St. Vincent and the Grenadines
A03,Caribbean Economic Recovery Act: USA 2009,780,Trinidad and Tobago
A04,Preferential tariff for selected african countries,450,Madagascar
A04,Preferential tariff for selected african countries,480,Mauritius
A04,Preferential tariff for selected african countries,690,Seychelles
A04,Preferential tariff for selected african countries,716,Zimbabwe
A05,Norway tariff for lower income GSP countries,012,Algeria
A05,Norway tariff for lower income GSP countries,031,Azerbaijan
A05,Norway tariff for lower income GSP countries,068,Bolivia
A05,Norway tariff for lower income GSP countries,070,Bosnia and Herzegovina
A05,Norway tariff for lower income GSP countries,120,Cameroon
A05,Norway tariff for lower income GSP countries,132,Cape Verde
A05,Norway tariff for lower income GSP countries,144,Sri Lanka
A05,Norway tariff for lower income GSP countries,170,Colombia
A05,Norway tariff for lower income GSP countries,214,Dominican Republic
A05,Norway tariff for lower income GSP countries,222,El Salvador
A05,Norway tariff for lower income GSP countries,242,Fiji
A05,Norway tariff for lower income GSP countries,268,Georgia
A05,Norway tariff for lower income GSP countries,320,Guatemala
A05,Norway tariff for lower income GSP countries,328,Guyana
A05,Norway tariff for lower income GSP countries,340,Honduras
A05,Norway tariff for lower income GSP countries,368,Iraq
A05,Norway tariff for lower income GSP countries,496,Mongolia
A05,Norway tariff for lower income GSP countries,558,Nicaragua
A05,Norway tariff for lower income GSP countries,600,Paraguay
A05,Norway tariff for lower income GSP countries,748,Swaziland
A05,Norway tariff for lower income GSP countries,764,Thailand
A05,Norway tariff for lower income GSP countries,776,Tonga
A05,Norway tariff for lower income GSP countries,895,
A07,Preferential tariff for COMESA FTA,108,Burundi
A07,Preferential tariff for COMESA FTA,174,Comoros
A07,Preferential tariff for COMESA FTA,262,Djibouti
A07,Preferential tariff for COMESA FTA,404,Kenya
A07,Preferential tariff for COMESA FTA,450,Madagascar
A07,Preferential tariff for COMESA FTA,454,Malawi
A07,Preferential tariff for COMESA FTA,480,Mauritius
A07,Preferential tariff for COMESA FTA,646,Rwanda
A07,Preferential tariff for COMESA FTA,690,Seychelles
A07,Preferential tariff for COMESA FTA,716,Zimbabwe
A07,Preferential tariff for COMESA FTA,729,Sudan
A07,Preferential tariff for COMESA FTA,818,"Egypt, Arab Rep."
A07,Preferential tariff for COMESA FTA,894,Zambia
A08,Preferential tariff for COMESA Non-FTA,231,Ethiopia(excludes Eritrea)
A08,Preferential tariff for COMESA Non-FTA,232,Eritrea
A08,Preferential tariff for COMESA Non-FTA,800,Uganda
A09,(SAARC) Preferential for Sri Lanka and Pakistan,144,Sri Lanka
A09,(SAARC) Preferential for Sri Lanka and Pakistan,586,Pakistan
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",188,Costa Rica
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",214,Dominican Republic
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",222,El Salvador
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",320,Guatemala
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",340,Honduras
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",840,United States
A11,Preferential tariff for EU + EFTA,040,Austria
A11,Preferential tariff for EU + EFTA,056,Belgium
A11,Preferential tariff for EU + EFTA,100,Bulgaria
A11,Preferential tariff for EU + EFTA,196,Cyprus
A11,Preferential tariff for EU + EFTA,203,Czech Republic
A11,Preferential tariff for EU + EFTA,208,Denmark
A11,Preferential tariff for EU + EFTA,233,Estonia
A11,Preferential tariff for EU + EFTA,246,Finland
A11,Preferential tariff for EU + EFTA,250,France
A11,Preferential tariff for EU + EFTA,276,Germany
A11,Preferential tariff for EU + EFTA,300,Greece
A11,Preferential tariff for EU + EFTA,348,Hungary
A11,Preferential tariff for EU + EFTA,352,Iceland
A11,Preferential tariff for EU + EFTA,372,Ireland
A11,Preferential tariff for EU + EFTA,380,Italy
A11,Preferential tariff for EU + EFTA,428,Latvia
A11,Preferential tariff for EU + EFTA,438,Liechtenstein
A11,Preferential tariff for EU + EFTA,440,Lithuania
A11,Preferential tariff for EU + EFTA,442,Luxembourg
A11,Preferential tariff for EU + EFTA,470,Malta
A11,Preferential tariff for EU + EFTA,528,Netherlands
A11,Preferential tariff for EU + EFTA,578,Norway
A11,Preferential tariff for EU + EFTA,616,Poland
A11,Preferential tariff for EU + EFTA,620,Portugal
A11,Preferential tariff for EU + EFTA,642,Romania
A11,Preferential tariff for EU + EFTA,703,Slovak Republic
A11,Preferential tariff for EU + EFTA,705,Slovenia
A11,Preferential tariff for EU + EFTA,724,Spain
A11,Preferential tariff for EU + EFTA,752,Sweden
A11,Preferential tariff for EU + EFTA,756,Switzerland
