PARTNER,RegionName,RTA_group,Impute_until,,
A01,Selected Developing Countries for Switzerland,CHELIE_GSP,9999,,
A02,Caribbean Economic Recovery Act: USA 2007,USA_CERA,9999,,
A03,Caribbean Economic Recovery Act: USA 2009,USA_CERA,9999,,
A04,Preferential tariff for selected african countries,EU_AFRICA,9999,,
A05,Norway tariff for lower income GSP countries,NOR_GSP_LOWERINCOME,9999,,
A07,Preferential tariff for COMESA FTA,WLD_COMESA,9999,,
A08,Preferential tariff for COMESA Non-FTA,WLD_COMESA_NONFTA,9999,,
A09,(SAARC) Preferential for Sri Lanka and Pakistan,IND_SAFTA,9999,,
A10,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",WLD_CAFTADR,9999,,
A11,Preferential tariff for EU + EFTA,WLD_EEA,9999,,
A12,(SAARC) Preferential for Sri Lanka and India,PAK_LKAIND,9999,,
A13,(AANZFTA) Preferential for AUS and NZL,WLD_AANZFTA,9999,,
A14,(COMESA) Preferential for Uganda and Eritrea,WLD_COMESA,9999,,
A15,Egypt (GSTP) Countries ,EGY_GSP,9999,,
A16,Egypt (GSTP) Selected LDCs Countries,EGY_GSP_LDC,9999,,
A17,LDC Beneficiaries in 2014,WLD_GSP_LDC,9999,,
A18,LDC Beneficiaries in 2014,WLD_GSP_LDC,9999,,
A19,Switzerland & Liechtenstein LDC beneficiary 2014,CHELIE_GSP_LDC,9999,,
A20,GSP for LDC Beneficiaries: Japan 2014,JPN_GSP_LDC,9999,,
A21,LDC Beneficiaries: Tajikistan 2014,TJK_GSP_LDC,9999,,
A22,GSP for LDC Beneficiaries: USA 2014,USA_GSP_LDC,9999,,
A23,LDC Beneficiaries: China 2014,CHN_GSP_LDC,9999,,
A24,GSP for LDC Beneficiaries: Norway 2014,NOR_GSP_LDC,9999,,
A25,GSP for LDC Beneficiaries: Morocco 2014,MAR_GSP_LDC,9999,,
A26,GSP Beneficiaries: Canada 2014,CAN_GSP,9999,,
A27,GSP Beneficiaries: Japan 2014,JPN_GSP,9999,,
A28,GSP Beneficiaries:Liechtenstein & Switzerland 2014,CHELIE_GSP,9999,,
A29,GSP Beneficiaries: USA 2014,USA_GSP,9999,,
A30,GSP Beneficiaries: Belarus & Kazakhstan 2014,BELKAZ_GSP,9999,,
A31,GSP Beneficiaries: Russia 2014,RUS_GSP,9999,,
A32,GSP Beneficiaries: New Zealand 2014,NZL_GSP,9999,,
A33,GSP Beneficiaries: Norway 2014,NOR_GSP,9999,,
A34,GSP Beneficiaries: EU 2014,EU_GSP,9999,,
A35,COMESA Free Trade Area in 2014,WLD_COMESA,9999,,
A36,EU 28 members 2013,WLD_EU,9999,,
A37,"EU 28 + GUF,SMR",WLD_EU,9999,,
A38,Pacific Islands Forum,WLD_SPARTECA,9999,,
A39,The European Free Trade Association (EFTA),WLD_EFTA,9999,,
A40,AGOA beneficiaries: USA 2014,USA_AGOA,9999,,
A41,Caribbean Basin Economic Recovery Act: USA 2014,USA_CERA,9999,,
A42,Caribbean Basin Trade Partnership Act: USA 2014,USA_CBTPA,9999,,
A43,Switzerland and Liechtenstein,WLD_CHELIE,9999,,
A44,Costa Rica and Panama,WLD_CRIPAN,9999,,
A45,Commonwealth of Independent States (CIS),WLD_CIS,9999,,
A46,Bangladesh and  of Laos,CHELIE_BGDLAO,9999,,
A47,Global System of Trade Preferences (GSTP),KOR_GSP,9999,,
A48,Global System of Trade Preferences (GSTP) LDCs,KOR_GSP_LDC,9999,,
A49,Preferential tariff for 4 selected LDCs,CHN_GSP_LDC,9999,,
A50,Eurasian Economic Union (EEU),WLD_EEU,9999,,
A51,United States - CAFTA - DR,WLD_CAFTADR,9999,,
A52,"China 2 Selected LDCs (BGD,MRT)",CHN_GSP_LDC,9999,,
A53,China 24 Selected African LDCs,CHN_GSP_LDC,9999,,
A54,China 14 Selected LDCs,CHN_GSP_LDC,9999,,
A55,CIS Countries (Exclu Russian),WLD_CIS,9999,,
A56,D-8 Organization for Economic Cooperation,D8_D8OEC,9999,,
A57,LDC Beneficiaries in 2015,ARM_GSP_LDC,9999,,
A58,Armenia Selected GSP Countries,ARM_GSP,9999,,
A59,Kyrgyzstan Selected GSP Countries,KGZ_GSP,9999,,
A60,GSP Beneficiaries: EU 2015,EU_GSP,9999,,
A61,GSP Beneficiaries: Canada 2015,CAN_GSP,9999,,
A62,GSP Beneficiaries:Liechtenstein & Switzerland 2015,CHELIE_GSP,9999,,
A63,GSP Beneficiaries: New Zealand 2015,NZL_GSP,9999,,
A64,GSP Beneficiaries: Norway 2015,NOR_GSP,9999,,
A65,GSP Beneficiaries: Russia 2015,RUS_GSP,9999,,
A66,The Pacific Alliance,WLD_PACIFICALLIANCE,9999,,
A67,EU Special incentive arrangement: 2015,EU_GSP_PLUS,9999,,
A68,Norway tariff for lower income GSP countries 2015,NOR_GSP_LOWERINCOME,9999,,
A69,GSP Beneficiaries: USA 2015,USA_GSP,9999,,
A70,GSP Beneficiaries: Japan 2015,JPN_GSP,9999,,
A71,GSP for LDC Beneficiaries: Japan 2015,JPN_GSP_LDC,9999,,
A72,"(SAARC)Preferential for Sri Lanka, Pakistan, India",BGD_SAFTA,9999,,
A74,China 33 Selected LDCs Countries,CHN_33LDCS,9999,,
A75,China 6 Selected LDCs Countries,CHN_6LDCS,9999,,
A76,South Asian Free Trade Area (SAFTA),IND_SAFTA,9999,,
A77,South Asian Free Trade Area (SAFTA) LDCs,SAARC_SAFTA_LDC,9999,,
A78,"Mauritius, Seychelles and Tonga",IND_MUSSYCTON,9999,,
A79,LDC Beneficiaries: India 2016,IND_GDP_LDC,9999,,
A80,Caribbean Community More Developed Countries,WLD_CARICOM,9999,,
A81,Caribbean Community LDC Countries,WLD_CARICOM_LDC,9999,,
A82,LDC Beneficiaries: Montenegro 2016,MNT_GSP_LDC,9999,,
A83,GSP Beneficiaries: EU 2016,EU_GSP,9999,,
B01,Caribbean Basin Trade Partnership Act : 2007,USA_CBTPA,9999,,
B02,Caribbean Basin Trade Partnership Act: 2009,USA_CBTPA,9999,,
B03,"China 2 Selected African LDCs (NER,SOM)",CHN_GSP_LDC,9999,,
B04,China Selected LDCs countries,CHN_GSP_LDC,9999,,
B05,China 3 Selected LDCs Countries,CHN_GSP_LDC,9999,,
B06,GSP Beneficiaries: 2017,BL_GSP,9999,,
B07,GSP Beneficiaries: Canada 2017,CAN_GSP,9999,,
B08,GSP Beneficiaries: EU 2017,EU_GSP,9999,,
B09,GSP Beneficiaries: Japan 2017,JPN_GSP,9999,,
B10,GSP Beneficiaries: Turkey 2017,TUR_GSP,9999,,
B11,GSP Beneficiaries: USA 2017,USA_GSP,9999,,
B12,GSP for LDC Beneficiaries: 2017,TUR_GSP_LDC,9999,,
B13,GSP for LDC Beneficiaries: Canada 2017,CAN_GPS_LDC,9999,,
B14,CHE & LIE LDC beneficiary 2017,CHELIE_GDP_LDC,9999,,
B15,GSP for LDC Beneficiaries: USA 2017,USA_GSP_LDC,9999,,
B16,The (EFTA) + Svalbard,WLD_EFTA,9999,,
B17,EU – Central America Association Agreement,EU_CAAA,9999,,
B18,Egypt (GSTP) Countries 2017,EGY_GSP,9999,,
B19,(GSTP) Countries 2017,ARG_GSP,9999,,
B20,Sri Lanka (GSTP) Countries 2017,LKA_GSP,9999,,
B21,India (GSTP) Countries 2017,IND_GSP,9999,,
B22,Iceland European Economic Area 2017,WLD_EEA,9999,,
B23,Norway European Economic Area 2017,WLD_EEA,9999,,
B24,Chinese Non-MFN Countries: 2017,CHN_NONMFN,9999,,
B25,AGOA beneficiaries: USA 2017,USA_AGOA,9999,,
B27,"EU-SADC(EPA) countries BWA,LSO,NAM,SWZ",EU_SADCEPA,9999,,
B28,"SADC 7 countries MDG,MWI,MUS,MOZ,ZWE,TZA,ZMB",WLD_SADC,9999,,
B29,EU Special incentive arrangement: 2017,EU_GSP_PLUS,9999,,
B30,Central European Free Trade Agreement (CEFTA)2017,WLD_CEFTA,9999,,
B31,"EU - EPA countries (KEN, CIV) 2017",EU_KENCIV,9999,,
B32,CIS Countries 2017,WLD_CIS,9999,,
C01,Andean Trade Preference Act 2009,USA_ATPA,9999,,
C02,ASEAN-Australia-New Zealand Free Trade Area,WLD_AANZFTA,9999,,
C03,"Hong Kong, Korea Rep., Taiwan",AUS_HKKORTWN,9999,,
